section_path,section_name,dataset,section_row,section_col,split
data\sections\Cuprite\Cuprite_r9_c2.npz,Cuprite_r9_c2,Cuprite,9,2,test
data\sections\Cuprite\Cuprite_r2_c2.npz,Cuprite_r2_c2,Cuprite,2,2,test
data\sections\Cuprite\Cuprite_r7_c1.npz,Cuprite_r7_c1,Cuprite,7,1,test
data\sections\Cuprite\Cuprite_r2_c1.npz,Cuprite_r2_c1,Cuprite,2,1,test
data\sections\Cuprite\Cuprite_r4_c2.npz,Cuprite_r4_c2,Cuprite,4,2,train
data\sections\Cuprite\Cuprite_r6_c2.npz,Cuprite_r6_c2,Cuprite,6,2,train
data\sections\Cuprite\Cuprite_r7_c2.npz,Cuprite_r7_c2,Cuprite,7,2,train
data\sections\Cuprite\Cuprite_r9_c1.npz,Cuprite_r9_c1,Cuprite,9,1,train
data\sections\Cuprite\Cuprite_r3_c1.npz,Cuprite_r3_c1,Cuprite,3,1,train
data\sections\Cuprite\Cuprite_r6_c1.npz,Cuprite_r6_c1,Cuprite,6,1,train
data\sections\Cuprite\Cuprite_r8_c2.npz,Cuprite_r8_c2,Cuprite,8,2,train
data\sections\Cuprite\Cuprite_r5_c1.npz,Cuprite_r5_c1,Cuprite,5,1,train
data\sections\Cuprite\Cuprite_r10_c2.npz,Cuprite_r10_c2,Cuprite,10,2,train
data\sections\Cuprite\Cuprite_r5_c2.npz,Cuprite_r5_c2,Cuprite,5,2,train
data\sections\Cuprite\Cuprite_r1_c1.npz,Cuprite_r1_c1,Cuprite,1,1,train
data\sections\Cuprite\Cuprite_r8_c1.npz,Cuprite_r8_c1,Cuprite,8,1,train
data\sections\Cuprite\Cuprite_r3_c2.npz,Cuprite_r3_c2,Cuprite,3,2,train
data\sections\Cuprite\Cuprite_r4_c1.npz,Cuprite_r4_c1,Cuprite,4,1,train
data\sections\Cuprite\Cuprite_r10_c1.npz,Cuprite_r10_c1,Cuprite,10,1,train
data\sections\Cuprite\Cuprite_r1_c2.npz,Cuprite_r1_c2,Cuprite,1,2,train
