section_path,section_name,dataset,section_row,section_col,split
data\sections\JasperRidge\JasperRidge_r9_c2.npz,JasperRidge_r9_c2,JasperRidge,9,2,test
data\sections\JasperRidge\JasperRidge_r1_c2.npz,JasperRidge_r1_c2,JasperRidge,1,2,test
data\sections\JasperRidge\JasperRidge_r11_c1.npz,JasperRidge_r11_c1,JasperRidge,11,1,test
data\sections\JasperRidge\JasperRidge_r6_c2.npz,JasperRidge_r6_c2,JasperRidge,6,2,test
data\sections\JasperRidge\JasperRidge_r3_c2.npz,JasperRidge_r3_c2,JasperRidge,3,2,train
data\sections\JasperRidge\JasperRidge_r5_c1.npz,JasperRidge_r5_c1,JasperRidge,5,1,train
data\sections\JasperRidge\JasperRidge_r7_c1.npz,JasperRidge_r7_c1,JasperRidge,7,1,train
data\sections\JasperRidge\JasperRidge_r8_c2.npz,JasperRidge_r8_c2,JasperRidge,8,2,train
data\sections\JasperRidge\JasperRidge_r2_c1.npz,JasperRidge_r2_c1,JasperRidge,2,1,train
data\sections\JasperRidge\JasperRidge_r5_c2.npz,JasperRidge_r5_c2,JasperRidge,5,2,train
data\sections\JasperRidge\JasperRidge_r8_c1.npz,JasperRidge_r8_c1,JasperRidge,8,1,train
data\sections\JasperRidge\JasperRidge_r6_c1.npz,JasperRidge_r6_c1,JasperRidge,6,1,train
data\sections\JasperRidge\JasperRidge_r4_c1.npz,JasperRidge_r4_c1,JasperRidge,4,1,train
data\sections\JasperRidge\JasperRidge_r10_c2.npz,JasperRidge_r10_c2,JasperRidge,10,2,train
data\sections\JasperRidge\JasperRidge_r4_c2.npz,JasperRidge_r4_c2,JasperRidge,4,2,train
data\sections\JasperRidge\JasperRidge_r1_c1.npz,JasperRidge_r1_c1,JasperRidge,1,1,train
data\sections\JasperRidge\JasperRidge_r7_c2.npz,JasperRidge_r7_c2,JasperRidge,7,2,train
data\sections\JasperRidge\JasperRidge_r2_c2.npz,JasperRidge_r2_c2,JasperRidge,2,2,train
data\sections\JasperRidge\JasperRidge_r3_c1.npz,JasperRidge_r3_c1,JasperRidge,3,1,train
data\sections\JasperRidge\JasperRidge_r10_c1.npz,JasperRidge_r10_c1,JasperRidge,10,1,train
data\sections\JasperRidge\JasperRidge_r11_c2.npz,JasperRidge_r11_c2,JasperRidge,11,2,train
data\sections\JasperRidge\JasperRidge_r9_c1.npz,JasperRidge_r9_c1,JasperRidge,9,1,train
