name,algorithm,timestamp,reconstruction_error,mean_sparsity,train_time,K,T_0,max_iter,tol,folder_path,hsi,limit,correlation_threshold,keywords,D_init,hsi_sample,epochs
JasperRidge,ksvd,20260326_101653,0.00781597018602915,3.122,21.303603400010616,300,3,30,1e-06,,,,,,,,
IndianPines,k_svd,20260326_161718,0.054961124450722286,3.066,38.486049900064245,300,3,50,,,,,,,,,
MottField,k_svd,20260410_160502,2.5106309057446317,10.0081,553.5228946001735,256,10,30,,,,,,,,,
ASTER_Random_Diverse,from_spectral_library,20260410_181950,0.1820682678766703,13.0,67.02333840006031,,,,,C:\Users\omrim\Documents\FinalProject\raw\ecospeclib-all,<src.hsi.HSI object at 0x00000251465FA450>,256,0.9,,,,
Field_Targeted_Dict,from_spectral_library,20260410_200916,0.22150353841120982,7.0,0.9491523001343012,,,,,C:\Users\omrim\Documents\FinalProject\raw\ecospeclib-all,<src.hsi.HSI object at 0x000001EF132D75D0>,256,0.92,"['vegetation', 'soil', 'non-photosynthetic', 'grass', 'shrub', 'alfalfa']",,,
Field_Refined_Dict,from_spectral_library,20260410_201258,0.11327469229893687,37.0,3.747591800056398,,,,,C:\Users\omrim\Documents\FinalProject\raw\ecospeclib-all,<src.hsi.HSI object at 0x000001C6A5B13950>,512,0.97,"['vegetation', 'soil', 'grass', 'shrub', 'non-photosynthetic', 'mineral', 'alfalfa']",,,
Field_Hybrid_Refined,k_svd_hybrid,20260411_101815,0.004398885335301787,10.0,205.24667929997668,256,10,30,,,,,,,"[[0.07216878 0.01055249 0.02996007 ... 0.05609221 0.05438285 0.0708977 ]
 [0.07216878 0.01055249 0.02996007 ... 0.05609221 0.05438285 0.0708977 ]
 [0.07216878 0.01055249 0.02996007 ... 0.05609221 0.05438285 0.0708977 ]
 ...
 [0.07216878 0.14317565 0.03119368 ... 0.06984917 0.09500446 0.085045  ]
 [0.07216878 0.14317565 0.03085224 ... 0.06921304 0.09497404 0.0859091 ]
 [0.07216878 0.14317565 0.03035939 ... 0.06854528 0.09467232 0.08669572]]",,
Village_Hybrid_Refined,k_svd_hybrid,20260411_105919,0.00540176306346258,10.0,211.78072329983115,256,10,30,,,,,,,"[[0.01233003 0.07216878 0.0108772  ... 0.00621814 0.01391427 0.07626714]
 [0.01206218 0.07216878 0.01054087 ... 0.00719434 0.01416274 0.07776883]
 [0.01201848 0.07216878 0.01053364 ... 0.00865722 0.01428484 0.07833258]
 ...
 [0.02416749 0.07216878 0.01496107 ... 0.03110584 0.06910541 0.09223406]
 [0.02327446 0.07216878 0.01461779 ... 0.02957184 0.06902534 0.09251269]
 [0.02244529 0.07216878 0.01430091 ... 0.02821802 0.0691362  0.09289327]]",,
Village_Hybrid_Refined,k_svd_hybrid,20260411_112550,0.005619010992486633,10.0,206.74571439996362,256,10,30,,,,,,,"[[0.01233003 0.07216878 0.0168505  ... 0.01616746 0.03467608 0.2098102 ]
 [0.01206218 0.07216878 0.01674085 ... 0.01889997 0.0319332  0.2098102 ]
 [0.01201848 0.07216878 0.01628787 ... 0.0223109  0.03518553 0.2098102 ]
 ...
 [0.02416749 0.07216878 0.02389617 ... 0.04304862 0.02087073 0.0662008 ]
 [0.02327446 0.07216878 0.0240986  ... 0.0422594  0.01999512 0.0662008 ]
 [0.02244529 0.07216878 0.02423089 ... 0.04178643 0.02046627 0.0662008 ]]",,
field_hybrid_refined,k_svd_hybrid,20260411_114043,0.005863473402498961,10.0,213.21977389999665,256,10,30,,,,,,,"[[0.07235746 0.08137787 0.01098651 ... 0.03857768 0.05286206 0.02342953]
 [0.07235746 0.08137787 0.01085997 ... 0.03857768 0.05286206 0.02342953]
 [0.07235746 0.08137787 0.01107277 ... 0.03857768 0.05286206 0.02342953]
 ...
 [0.07235746 0.00077309 0.02185034 ... 0.06740252 0.08914253 0.05368509]
 [0.07235746 0.00077309 0.02096781 ... 0.06692814 0.08966066 0.05333196]
 [0.07235746 0.00077309 0.02035557 ... 0.06686036 0.08972298 0.05317044]]",,
